C11 C12 C13 C14 C15 C16 C22 C23 C24 C25 C26 C33 C34 C35 C36 C44 C45 C46 C55 C56 C66 w0 w1 w2 w3 w4 w5 w01 w02 w03 w11 w12 w13 w21 w22 w23 w31 w32 w33 Sharing nodes
2.188059 0.671102 0.671102 0.000000 0.000000 -0.000000 2.188059 0.671102 0.000000 0.000000 -0.000000 2.188059 0.000000 -0.000000 0.000000 0.808593 -0.000000 0.000000 0.808593 -0.000000 0.808593 0.500000 0.500000 0.500000 0.500000 0.500000 0.500000 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 e1 e4 e5
1.095894 0.554796 0.554796 -0.000000 -0.000000 -0.000000 1.095894 0.554796 -0.000000 -0.000000 0.000000 1.095894 -0.000000 0.000000 -0.000000 0.529691 0.000000 0.000000 0.529691 -0.000000 0.529691 0.500000 0.500000 0.500000 0.500000 0.500000 0.500000 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 v3 v1 e5
0.691377 -0.291768 -0.291768 -0.000000 -0.000000 0.000000 0.691377 -0.291768 -0.000000 -0.000000 0.000000 0.691377 -0.000000 0.000000 -0.000000 0.004622 -0.000000 -0.000000 0.004622 -0.000000 0.004622 0.500000 0.500000 0.500000 0.500000 0.500000 0.500000 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 e0 v2 f0
1.711855 0.521687 0.521687 0.000000 -0.000000 -0.000000 1.711855 0.521687 -0.000000 0.000000 0.000000 1.711855 0.000000 0.000000 -0.000000 0.230149 0.000000 -0.000000 0.230149 0.000000 0.230149 0.500000 0.500000 0.500000 0.500000 0.500000 0.500000 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 e3 f3 f2
0.870665 0.135246 0.135246 -0.000000 -0.000000 -0.000000 0.870665 0.135246 0.000000 -0.000000 0.000000 0.870665 -0.000000 0.000000 -0.000000 0.265083 0.000000 0.000000 0.265083 -0.000000 0.265083 0.500000 0.500000 0.500000 0.500000 0.500000 0.500000 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 v2 e3 e2
0.399886 -0.001950 -0.001950 -0.000000 0.000000 -0.000000 0.399886 -0.001950 0.000000 -0.000000 -0.000000 0.399886 0.000000 0.000000 -0.000000 0.006717 0.000000 0.000000 0.006717 -0.000000 0.006717 0.500000 0.500000 0.500000 0.500000 0.500000 0.500000 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 v3 f0 e2
0.226863 0.098778 0.098778 0.000000 -0.000000 -0.000000 0.226863 0.098778 -0.000000 -0.000000 0.000000 0.226863 0.000000 0.000000 -0.000000 0.013552 -0.000000 0.000000 0.013552 0.000000 0.013552 0.500000 0.500000 0.500000 0.500000 0.500000 0.500000 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 e3 e4 f3
1.358801 0.534354 0.534354 0.000000 -0.000000 0.000000 1.358801 0.534354 -0.000000 -0.000000 -0.000000 1.358801 -0.000000 0.000000 -0.000000 0.030920 -0.000000 -0.000000 0.030920 -0.000000 0.030920 0.500000 0.500000 0.500000 0.500000 0.500000 0.500000 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 v1 e1 v3
1.585177 0.036236 0.036236 0.000000 0.000000 0.000000 1.585177 0.036236 -0.000000 -0.000000 -0.000000 1.585177 -0.000000 0.000000 0.000000 0.005818 -0.000000 -0.000000 0.005818 -0.000000 0.005818 0.500000 0.500000 0.500000 0.500000 0.500000 0.500000 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 f1 f3 f2
1.140876 0.916127 0.916127 0.000000 -0.000000 0.000000 1.140876 0.916127 -0.000000 0.000000 -0.000000 1.140876 -0.000000 0.000000 -0.000000 0.095871 -0.000000 -0.000000 0.095871 -0.000000 0.095871 0.500000 0.500000 0.500000 0.500000 0.500000 0.500000 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 v3 e5 e0
