C11 C12 C13 C14 C15 C16 C22 C23 C24 C25 C26 C33 C34 C35 C36 C44 C45 C46 C55 C56 C66 w5 w11 w12 w13 w21 w22 w23 w41 w42 w43
0.533626 0.259868 0.259868 -0.000000 -0.000000 -0.000000 0.688838 0.384138 -0.000000 -0.000000 0.000000 0.688838 -0.000000 0.000000 -0.000000 0.256187 -0.000000 0.000000 0.104624 -0.000000 0.256187 0.000000 0.000000 1.000000 0.000000 0.333333 0.000000 0.666667 0.000000 0.000000 1.000000 
0.544263 0.104540 0.104540 -0.000000 0.000000 0.000000 0.373038 0.026796 -0.000000 0.000000 -0.000000 0.373038 -0.000000 -0.000000 0.000000 0.319796 -0.000000 -0.000000 0.141947 -0.000000 0.319796 0.000000 1.000000 0.000000 0.000000 0.333333 0.000000 0.666667 0.333333 0.666667 0.000000 
0.017973 0.019098 0.019098 -0.000000 -0.000000 0.000000 0.374494 0.223267 -0.000000 -0.000000 0.000000 0.374494 -0.000000 0.000000 0.000000 0.010947 0.000000 -0.000000 0.222954 -0.000000 0.010947 0.666667 0.333333 0.000000 0.666667 0.000000 0.666667 0.333333 0.333333 0.000000 0.666667 
1.781884 0.304176 0.304176 -0.000000 0.000000 -0.000000 0.146664 0.122312 0.000000 -0.000000 -0.000000 0.146664 -0.000000 0.000000 0.000000 0.055434 -0.000000 -0.000000 0.015820 -0.000000 0.055434 0.333333 0.000000 0.666667 0.333333 0.000000 1.000000 0.000000 0.000000 0.333333 0.666667 
0.067772 0.102508 0.102508 0.000000 -0.000000 0.000000 0.377007 0.078327 -0.000000 -0.000000 -0.000000 0.377007 0.000000 -0.000000 0.000000 0.056321 -0.000000 -0.000000 0.004829 0.000000 0.056321 0.000000 0.333333 0.333333 0.333333 0.000000 0.333333 0.666667 0.000000 0.333333 0.666667 
0.051381 0.123095 0.123095 -0.000000 -0.000000 -0.000000 1.499067 0.122360 -0.000000 0.000000 0.000000 1.499067 0.000000 -0.000000 -0.000000 0.142136 -0.000000 -0.000000 0.098445 -0.000000 0.142136 0.000000 0.333333 0.000000 0.666667 0.000000 0.000000 1.000000 0.333333 0.000000 0.666667 
1.742668 0.273941 0.273941 -0.000000 -0.000000 0.000000 0.153612 0.142088 -0.000000 -0.000000 -0.000000 0.153612 0.000000 0.000000 -0.000000 0.018086 0.000000 0.000000 0.017117 -0.000000 0.018086 0.333333 0.000000 0.666667 0.333333 0.000000 1.000000 0.000000 0.333333 0.000000 0.666667 
0.787656 0.000566 0.000566 -0.000000 -0.000000 0.000000 0.052514 0.036059 -0.000000 -0.000000 0.000000 0.052514 -0.000000 -0.000000 0.000000 0.000788 -0.000000 0.000000 0.352475 -0.000000 0.000788 0.000000 0.000000 0.333333 0.666667 0.000000 0.000000 1.000000 0.333333 0.333333 0.333333 
0.547306 0.328762 0.328762 -0.000000 -0.000000 0.000000 0.508733 -0.016542 -0.000000 -0.000000 0.000000 0.508733 -0.000000 -0.000000 0.000000 0.034808 -0.000000 -0.000000 0.229452 0.000000 0.034808 0.333333 0.333333 0.333333 0.333333 0.000000 0.666667 0.333333 0.000000 0.666667 0.333333 
0.169769 0.089959 0.089959 -0.000000 0.000000 0.000000 0.099043 0.082164 0.000000 -0.000000 -0.000000 0.099043 0.000000 0.000000 -0.000000 0.086632 0.000000 0.000000 0.014348 -0.000000 0.086632 0.333333 0.333333 0.666667 0.000000 0.000000 0.666667 0.333333 0.000000 0.333333 0.666667 
0.093870 0.153697 0.153697 -0.000000 0.000000 0.000000 0.665260 0.450113 0.000000 -0.000000 0.000000 0.665260 0.000000 0.000000 0.000000 0.087707 0.000000 -0.000000 0.267401 -0.000000 0.087707 0.333333 0.333333 0.666667 0.000000 0.000000 0.000000 1.000000 1.000000 0.000000 0.000000 
